# lambda1; lambda2; lambda3; lambda4; lambda5; lambda6; lambda7; lambda8; lambda9; lambda10
18.19050133113539; 45.57826461998702; 46.75782194858161; 82.17985648927072; 83.52769326545003; 95.93597114319221; 127.5802042252315; 128.2024979250727; 152.9265316454635; 156.6456649400883
18.82846301389608; 44.41377485528527; 49.49969784923213; 81.30321758408287; 85.84188086691341; 96.98361733243335; 126.9380455298058; 133.9287805567546; 146.6963425060858; 159.5387576779675
18.47361432980453; 46.00450284793947; 46.8277826116706; 83.67226152573853; 84.20883617173421; 93.96300137173402; 128.7046139572285; 132.6508084291712; 149.5824355215909; 152.7960821345071
19.2422322132841; 44.04079109643229; 50.72640606471088; 79.690368876055; 87.97143326104964; 98.01792324115812; 129.2733533597224; 129.7794472954264; 149.3923364040492; 160.3870631125853
28.38563566366118; 52.44633458117141; 53.67086735150209; 78.96504431880702; 104.2330575456645; 112.8983313008524; 139.0576060211302; 146.7528445461148; 157.5310650887142; 164.7595984576334
19.73207048285002; 41.43274737146835; 57.15741642159778; 74.00116185824452; 85.93893281858449; 114.8765044806425; 117.6921729466976; 128.658037755735; 150.2608727470013; 169.4911009647841
20.01475620654159; 39.86253491352206; 60.20020443108477; 71.61145515967817; 85.70370804196673; 112.1302673176646; 119.3266886117604; 130.1499361406008; 155.6864345248755; 162.7911571272368
19.70511636328766; 44.55104147740146; 50.98425400502492; 82.98944440741666; 86.29203430386674; 97.4297698704971; 129.1476319930586; 136.1425153534288; 146.8608355807864; 158.4368734818389
21.09702802857504; 43.01333800540907; 55.37774994250967; 77.02444286273014; 94.35151774420621; 103.4879817447147; 122.0273837806177; 131.1811342066312; 161.1107383934896; 168.4893552117754
19.81161587548398; 47.21061294165325; 49.91467214948224; 81.43319362543073; 91.14636747493273; 96.18807445482726; 130.8679951300008; 136.5765844314859; 146.9595098776749; 159.5503315183511
19.73514451392828; 43.0098965532553; 54.91427395616582; 74.40745331377958; 89.1992230956634; 108.6930291696579; 119.1647398044073; 134.2079278092858; 147.7912473200265; 171.9901640688282
18.87939076396454; 43.76083692968048; 50.6887007551158; 78.91013979223763; 86.84644471670723; 100.0385310174473; 125.0658706448248; 131.3400872622277; 148.4580704109504; 164.1381910285869
19.59980438601621; 41.53676648897179; 56.39162020095398; 74.88152470211419; 86.16376862511191; 111.4250215593372; 117.3406902252372; 132.4248229421245; 149.9408730035712; 169.2730200014406
18.17360573720891; 46.02078035656944; 46.25447665177632; 82.84418737638478; 82.91192107422488; 95.76087760135998; 127.9097991783447; 127.9226023547126; 154.277095549178; 155.0608934248796
18.30110105237812; 44.69159044845413; 48.05312449234657; 80.9534852002847; 84.40279000744448; 97.11635806366039; 127.3926037956157; 127.9769511254491; 150.8557443380675; 160.286466086895
19.03017451079991; 41.96714920681567; 53.90319666270925; 77.97493523346338; 81.92880501895573; 109.5354416370092; 123.6068421056799; 126.5284990847117; 144.6003126841271; 175.9224512824758
19.45633227812211; 41.40489710706168; 55.47636087089039; 74.71024964448922; 86.62868254389277; 109.3948697443295; 117.2395358542983; 131.6942184546724; 150.6648950726549; 168.3522610835825
18.17369889165206; 45.97990101877184; 46.29606735140549; 82.86151283759115; 82.8891265358664; 95.76867629761415; 127.8847699399107; 127.9413067646685; 154.1468105376613; 155.2031973640142
18.34012130226878; 44.46630945721298; 48.30468522339846; 82.16444050629002; 82.92856940550212; 97.25916601839668; 127.8211169792086; 128.5306886088636; 148.4201164268172; 161.0595314798241
18.6671552749992; 43.65855877506326; 50.07348910374937; 81.47816116869465; 83.00950195538644; 99.44571529837081; 126.6635576142834; 130.7639224696508; 145.7868237407059; 163.8665942295088
19.14831056798266; 43.02452412432978; 53.00642613948416; 75.54009738724115; 88.38670594549274; 105.5820750152965; 120.9339957131509; 129.8102914768063; 150.6113718772399; 174.1689940867969
20.07159232857743; 41.71193523686623; 56.96013198117006; 73.24908609046584; 90.05270729111473; 109.4835616313939; 117.900377500688; 131.4419600805668; 155.1541053668877; 166.1666027196148
18.56258885428118; 43.96813994453383; 49.42059515844832; 81.00371603084488; 84.32647666731839; 97.83404741495603; 126.7751682619793; 130.7687359754513; 148.4048783683952; 160.0559939334385
18.55687634522857; 45.02651028281996; 48.10386808510828; 83.14173945017225; 83.94057092084942; 95.30631171934223; 129.1890791790474; 131.8450646303876; 146.6862425230211; 156.8488964915964
20.14371920077659; 44.6733281197558; 51.67267511557157; 80.6817348295142; 90.35230315855907; 98.03679481563772; 125.2950990656815; 143.0574355710729; 145.642890266858; 159.1505844846556
18.6360899527109; 43.30602169099959; 50.50458745802244; 79.08635191689135; 84.74190823926665; 100.5704455723852; 125.7412304535045; 128.5475268112159; 148.1607190387006; 165.6128554381965
19.34740515266781; 42.91005034580577; 53.35935410528047; 75.92222998640429; 88.11236955886064; 106.1279223417758; 118.8377177696147; 134.6948396611883; 147.6647878509041; 169.9229568516157
18.72541775301221; 45.04349311021307; 48.69968142632719; 81.95299532406965; 85.06902071715858; 96.59557878267705; 128.8452641978881; 132.6563580260629; 144.8648007227158; 160.2372850661882
19.9709877441495; 42.55565774834489; 54.2330306996697; 78.23704246381213; 86.0005354594599; 105.8817900892209; 122.0567014214628; 137.3786475455181; 143.4967388245923; 168.1792013731256
18.74879603062262; 44.95427834337062; 48.70453896297325; 80.84404338630729; 87.12892043430364; 95.33096727938766; 128.7673877174492; 132.2941788812656; 147.8226247638771; 156.7074427006283
18.60460510400421; 42.80693950103333; 51.09083070267366; 78.7417644152905; 83.56679911332859; 102.8311785686772; 125.4319297228662; 126.3202801717337; 147.6090135916474; 170.5013893693273
18.61497590955815; 43.19773268085121; 50.5125011830153; 79.22634990311272; 84.45422105194838; 100.5899428443686; 125.1244918038252; 128.9276146004889; 148.3547691282337; 165.418629537427
18.27409842512575; 45.38880186550588; 47.11081401403235; 82.94855085487833; 83.16002570061566; 95.60228259028771; 127.8244903576412; 129.4221521810677; 151.1107033011782; 156.3746784204293
22.23272963471365; 38.48217200059322; 65.43724229608992; 71.62869041946581; 89.86475535849441; 104.9386836857822; 123.2664161005534; 138.1530054427055; 154.4735778348584; 166.325476095793
18.33499098139151; 44.41728191196052; 48.35215423761296; 81.40860781300412; 83.69088128517988; 97.30962521720907; 126.8705164572622; 129.0622440352867; 149.23581128931; 160.8637997992858
19.04410187223561; 45.16492693064437; 48.97173703571747; 83.59384826679283; 86.15972963598537; 94.0596031612391; 130.4410694342648; 136.4701017939455; 145.6602407221066; 153.0398055626231
19.18373859936586; 40.66648858232016; 56.31677329276035; 73.84864811153135; 83.93352531520166; 115.132041103971; 117.7172589747787; 124.3506038710831; 151.5404557136586; 168.5806293688164
18.81336706156372; 42.87791942982273; 51.48697236031059; 78.3599045790324; 84.91052674256743; 102.213995910414; 125.5363473482837; 127.8221815857783; 148.0053434776781; 167.9815925555847
18.28308466063482; 45.74788628345974; 46.76702539892218; 82.44186486731461; 83.9939256615969; 95.27388659573572; 127.9762869237303; 129.6059357568258; 151.9692981182808; 155.1116404733999
18.54269937299739; 45.22129445540957; 47.94773038150485; 81.64791079525706; 85.68791802770197; 95.31403367732666; 127.6437698023326; 132.2870016158299; 148.4423733712339; 156.9126304741046
18.96548984199402; 46.43760555397945; 47.65722742230088; 83.87619155698334; 86.91289958515138; 92.83949594629188; 130.7702621257552; 137.6364695678285; 145.1601579450255; 152.1113193070088
18.27645239048436; 44.74820150688663; 47.84401232609439; 81.97404231139321; 83.31055212985649; 96.79717678204368; 127.6945900268872; 128.2925084395465; 149.7309291968201; 160.0303687501001
18.47562075355354; 43.07068238661883; 50.41586406172291; 79.18727898719071; 83.53758833153312; 101.6049499490102; 125.5455582551824; 126.466489485634; 148.5979867123899; 168.4930002125068
18.18542108788749; 45.82167809730978; 46.48600091281229; 82.63759724671044; 83.15057833579428; 95.77225784065577; 127.7184930263359; 128.2419004854165; 153.4469241044569; 155.760608481066
18.59613198443707; 45.40650953085936; 47.76104366438618; 82.64265680240902; 85.18334145685468; 94.57986365806293; 128.5953560031564; 133.3902042641654; 147.238101160069; 155.1287149028261
19.3228687789398; 45.64931250996314; 48.88049057571757; 84.34613025911712; 86.92188440555287; 93.25340209708858; 131.4620035766223; 139.063191978096; 143.1516567239797; 152.9980045461283
18.59841373463505; 43.83640534138773; 50.0259218617297; 79.88846032366639; 84.78856399122382; 100.354693270995; 125.6561340630115; 129.612519416478; 148.266698640227; 166.1667855035965
18.6756552265806; 43.25876672172897; 50.69790616868779; 79.14001889237858; 84.73252072943943; 100.7541823772594; 125.4590396571972; 128.9286249620789; 148.3835420731168; 165.6288558363248
18.23500205906672; 44.58529976387142; 47.94578381693565; 81.94055716719245; 82.8717649439975; 97.3314975833003; 127.4077193156679; 127.5580310542341; 150.0755911774205; 161.282545523948
18.39059316673815; 44.08839977107555; 48.86914607785435; 80.71765795183447; 84.0425126243948; 98.01792861025075; 126.6177100819035; 128.8739247260382; 148.8104863404795; 162.1580109826248
18.19968727466802; 45.42483121553873; 46.92639615584235; 82.74825107373123; 82.90687522672893; 95.98360180372762; 127.910335504432; 128.0308730767305; 152.1306528673274; 157.1789354313293
22.23689365059545; 47.52872878638073; 52.90944144027016; 82.75139324713047; 91.13036309919444; 103.0598102533029; 128.8280223683009; 140.0626677812551; 157.0448532489559; 162.3130145821882
20.00565213583923; 41.57646852172531; 57.3054847370088; 74.05701655926265; 88.31005781183266; 112.2408388014175; 116.4964264520272; 131.3866818617734; 155.6886107808716; 167.3097504415976
18.24193686065059; 44.3255688468689; 48.27890211879951; 80.99690890977851; 83.47986915959503; 97.93415546038631; 126.5222993423943; 127.6104661628366; 150.3279712142673; 162.5666980865511
19.06859003879333; 44.4652786638238; 49.81763808697851; 80.80854273304945; 87.44731438655646; 96.24805112236113; 128.9712064766711; 132.4743781633892; 147.9662222915785; 157.6433240018666
19.10331990156889; 46.05007480065875; 47.97964796538464; 85.08962244548219; 86.71087719794176; 91.85497010591529; 130.8586498816547; 139.1986086217375; 146.0027028353936; 149.2724916542781
19.09837935674436; 46.31624154511457; 47.65040452067239; 84.87427372234797; 87.14220653548493; 91.42743075169771; 130.9943623282726; 140.0757759706138; 145.1011179831419; 148.6905107421233
18.41383701858675; 45.69982644970468; 47.04295015026171; 83.31187542284746; 83.96266419372704; 94.49886023638066; 128.8278928360224; 131.2474547530195; 149.7801620909546; 154.0490353757122
18.2023470124438; 45.96212667347106; 46.37063622058009; 82.71143422874977; 83.24456590696751; 95.58059825228511; 127.9326520244726; 128.4270443566245; 153.6491902714372; 154.9224088035342
18.1758219716068; 45.80056802381915; 46.48434440414155; 82.76133675564476; 82.95546793917453; 95.82468179172207; 127.8192394092651; 127.9769162802105; 153.558986737035; 155.8628731133923
21.61610452427706; 46.24520360974343; 52.33688464984948; 82.513758134111; 90.32503636688682; 102.466056583179; 131.3176080028078; 139.645469977549; 144.3721021116955; 164.1411073669721
19.20726533434078; 43.40966477908412; 51.54646712275538; 81.10234677689618; 83.72241607802724; 101.26430106108; 127.0167180773097; 134.1632365570835; 141.3737690521559; 166.0075158153622
18.19464996054207; 46.03858781231577; 46.27598586731881; 82.83464901403183; 83.07901718708408; 95.60532883584305; 127.9791706477937; 128.2706877332078; 153.9518221058832; 154.7599860750633
18.36966975086484; 45.56273945375373; 47.10715675460365; 82.86914090948673; 84.00865173997303; 94.87596036826035; 128.5844513638507; 130.5179406465139; 150.1336194817556; 154.9007990955157
18.20551013740737; 44.93764680768899; 47.48226763625625; 82.39173043968387; 82.76374850093264; 96.73653079960681; 127.4677090383599; 127.7905935596417; 150.9826351982603; 159.6683098695212
18.26590879494818; 45.2350158383576; 47.4014982767229; 81.01652921770555; 84.71143686410633; 96.5793911019793; 126.7426518429495; 128.7987710822099; 151.4420800669048; 159.5091650975808
18.50561268261496; 45.23566137584765; 47.72727895723725; 82.62692760558427; 84.7440082809768; 94.76473870906277; 128.0404524019586; 132.6265213693051; 148.6855331613549; 154.8755374788545
20.31410840377087; 40.55784579634751; 58.50263634337457; 73.20376505154135; 88.02686864434456; 110.5978475450027; 118.2644877821358; 130.4127268402854; 156.6007677937627; 166.6170102105754
19.69198877990828; 43.07726949493264; 53.08855312501591; 77.48774378293471; 89.53173458718923; 102.0042856033167; 121.0261218605125; 136.6315307170284; 149.7490916338971; 165.1414405178768
18.18454625088003; 45.78014470964657; 46.52488303451991; 82.5832757202834; 83.18802423676871; 95.78613471368313; 127.8553220522255; 128.0728650684019; 153.4270947319806; 155.8146671699862
18.18519950717646; 45.34498156601016; 46.98708898384241; 82.54118224749747; 82.95146741967378; 96.17844233477933; 127.7378141168931; 127.8198159915574; 152.2204370979054; 157.7114344379469
19.47958866283644; 43.83299560228367; 51.92521840916548; 77.78578111166695; 90.44641564807222; 99.67269244407741; 121.5104057937577; 136.9369388299955; 151.8827600292326; 162.8231835719302
19.99365333828563; 42.09448195353654; 55.59900635838954; 76.77455455444833; 88.26182760615792; 107.2575912575563; 116.6285306325623; 140.5175710759066; 151.2454468418114; 161.8166958435037
18.18224073348484; 45.76426510567044; 46.53465047167286; 82.77946532400151; 82.9679172910752; 95.80199535467634; 127.8402103194355; 128.0599916136408; 153.3569139476833; 155.9142722560626
19.91039731957492; 41.69670553134228; 56.2268623720301; 72.85658144767322; 91.43133598185342; 107.0059490484943; 118.369960873765; 129.6443557553658; 157.9236092317125; 169.6798920555101
18.18461560001037; 45.53214069025753; 46.78581724043451; 82.5006794189119; 83.13599636578657; 95.97693952962301; 127.7728543192761; 127.9657362802831; 152.7240603130403; 156.8698199603289
19.65078858255759; 40.64803031933767; 58.20013691567004; 71.58212146509355; 87.65406227987185; 110.7726918535502; 119.0512211691666; 128.73456097276; 154.0923761604189; 165.1318610859479
21.94988505520481; 48.49664767190097; 50.57122260723561; 83.02462467517448; 90.85363422031077; 102.1333216899577; 131.7983813650187; 139.2299689261395; 147.9720763802699; 164.4168872988141
19.46922722166931; 45.35190840959414; 49.48944006036006; 84.71343638153778; 86.48925134602922; 94.21128915162627; 130.7297022376327; 137.4203316588278; 147.5708883438578; 152.248058169595
21.78537618712654; 42.80077757099912; 57.15166536407468; 77.34548330531962; 92.22697643573132; 107.8713837406914; 121.2675296115893; 133.0945731664282; 160.567084767645; 167.7338261068448
19.05047457758202; 45.3569655548159; 48.62181222635892; 83.62609026037666; 86.93960081747819; 92.96659456429208; 129.7126837889728; 138.0680931964407; 146.655651337329; 150.8046246582962
18.61339903853741; 44.91875636696421; 48.34172244160607; 82.9570867161859; 84.4789602403139; 95.25043989607057; 128.0617453692689; 133.2373858482885; 148.220318298057; 155.1432107904257
18.68133756838354; 43.20343235641811; 50.78257917424501; 78.66077270291716; 85.09260942093248; 101.2187341989916; 124.7793912104391; 128.9093877321465; 148.1378904590743; 167.0639905721673
19.65292005099105; 43.39651420415; 52.821354578828; 78.12710625645393; 89.48108568124157; 100.8848667546998; 121.507027802284; 138.6220404931606; 149.7730135488663; 163.5263541855765
18.22553824386981; 46.01926615437783; 46.35642531665113; 82.76896293087366; 83.36394668394067; 95.40501494674525; 128.2183547601568; 128.6066794433156; 153.2605167731392; 154.6359255726958
22.94233150297092; 43.7874054718156; 56.65164990589794; 80.95214792455984; 90.59686450436442; 109.7562384715689; 124.4930284166221; 140.6849249248684; 147.8715743226088; 166.6817437536373
19.86264514869313; 44.18215909788899; 51.89899473156918; 80.64363629249527; 87.43216600398929; 99.90343679455708; 126.7005460587984; 139.6300096711625; 142.3239931895617; 163.5419177370947
